date,level,x,y,z
2023/02/28 14:01:10,logs_a,3.37,1.08,0.631677592870.674044
2023/02/28 14:01:10,logs_a,3.43,0.13,1.591677592870.674863
2023/02/28 14:01:10,logs_a,-9.25,4.04,1.521677592870.675632
2023/02/28 14:01:10,logs_a,-5.87,3.48,1.351677592870.676468
2023/02/28 14:01:10,logs_a,0.91,9.51,1.781677592870.677759
2023/02/28 14:01:10,logs_a,-0.78,12.42,1.641677592870.678936
2023/02/28 14:01:10,logs_a,-0.07,0.02,0.011677592870.764882
2023/02/28 14:01:10,logs_a,0.05,0.01,-0.051677592870.766558
2023/02/28 14:01:10,logs_a,3.25,1.44,0.481677592870.767606
2023/02/28 14:01:10,logs_a,-0.78,12.29,2.041677592870.768596
2023/02/28 14:01:10,logs_a,-0.07,0.02,0.011677592870.867413
2023/02/28 14:01:10,logs_a,0.05,0.01,-0.051677592870.868718
2023/02/28 14:01:10,logs_a,3.36,0.35,1.531677592870.870111
2023/02/28 14:01:10,logs_a,1.74,2.75,-1.791677592870.871828
2023/02/28 14:01:10,logs_a,3.12,0.9,1.141677592870.872843
2023/02/28 14:01:10,logs_a,-0.39,12.34,1.791677592870.873752
2023/02/28 14:01:10,logs_a,-0.07,0.02,0.011677592870.970419
2023/02/28 14:01:10,logs_a,0.05,0.01,-0.051677592870.972513
2023/02/28 14:01:10,logs_a,3.34,0.75,0.41677592870.973830
2023/02/28 14:01:10,logs_a,3.23,1.45,0.41677592870.974907
2023/02/28 14:01:10,logs_a,5.25,7.51,1.751677592870.975929
2023/02/28 14:01:10,logs_a,2.04,5.5,-7.251677592870.976875
2023/02/28 14:01:10,logs_a,5.25,9.04,0.941677592870.977802
2023/02/28 14:01:10,logs_a,-5.56,3.17,1.571677592870.978719
2023/02/28 14:01:10,logs_a,0.87,9.02,1.751677592870.979781
2023/02/28 14:01:10,logs_a,-0.77,12.2,1.831677592870.980751
2023/02/28 14:01:11,logs_a,-0.07,0.02,0.011677592871.068287
2023/02/28 14:01:11,logs_a,0.05,0.01,-0.051677592871.070417
2023/02/28 14:01:11,logs_a,3.27,1.04,1.481677592871.071745
2023/02/28 14:01:11,logs_a,5.25,7.52,1.71677592871.072941
2023/02/28 14:01:11,logs_a,2.04,4.72,-7.781677592871.073994
2023/02/28 14:01:11,logs_a,4.92,9.22,1.01677592871.074950
2023/02/28 14:01:11,logs_a,0.85,8.86,1.931677592871.075876
2023/02/28 14:01:11,logs_a,-0.77,12.26,1.071677592871.076766
2023/02/28 14:01:11,logs_a,-0.07,0.02,0.011677592871.166765
2023/02/28 14:01:11,logs_a,0.05,0.01,-0.051677592871.168624
2023/02/28 14:01:11,logs_a,1.65,2.83,-1.841677592871.170164
2023/02/28 14:01:11,logs_a,0.85,8.83,1.821677592871.171456
2023/02/28 14:01:11,logs_a,-4.98,3.89,0.841677592871.172813
2023/02/28 14:01:11,logs_a,-0.38,12.13,1.711677592871.173863
2023/02/28 14:01:11,logs_a,-0.07,0.02,0.011677592871.266843
2023/02/28 14:01:11,logs_a,0.05,0.01,-0.051677592871.268868
2023/02/28 14:01:11,logs_a,3.19,1.41,0.461677592871.270314
2023/02/28 14:01:11,logs_a,3.3,1.43,0.561677592871.271495
2023/02/28 14:01:11,logs_a,4.94,7.57,2.191677592871.272562
2023/02/28 14:01:11,logs_a,2.04,5.5,-7.221677592871.273724
2023/02/28 14:01:11,logs_a,-0.38,12.07,1.591677592871.274797
2023/02/28 14:01:11,logs_a,-0.39,12.26,1.321677592871.275788
2023/02/28 14:01:11,logs_a,-0.07,0.02,0.011677592871.371334
2023/02/28 14:01:11,logs_a,0.05,0.01,-0.051677592871.372783
2023/02/28 14:01:11,logs_a,3.12,1.62,0.591677592871.374130
2023/02/28 14:01:11,logs_a,3.13,1.37,1.451677592871.375380
2023/02/28 14:01:11,logs_a,-5.18,3.64,0.761677592871.376568
2023/02/28 14:01:11,logs_a,-0.76,12.02,2.151677592871.377672
2023/02/28 14:01:11,logs_a,-4.79,3.69,1.021677592871.378900
2023/02/28 14:01:11,logs_a,-0.07,0.02,0.011677592871.468536
2023/02/28 14:01:11,logs_a,0.05,0.01,-0.051677592871.470113
2023/02/28 14:01:11,logs_a,3.34,1.19,0.351677592871.471694
2023/02/28 14:01:11,logs_a,3.25,1.04,1.461677592871.472880
2023/02/28 14:01:11,logs_a,4.94,7.55,2.251677592871.474012
2023/02/28 14:01:11,logs_a,2.04,6.1,-6.721677592871.475348
2023/02/28 14:01:11,logs_a,0.81,8.51,1.591677592871.476705
2023/02/28 14:01:11,logs_a,0.84,8.81,1.071677592871.477983
2023/02/28 14:01:11,logs_a,-0.76,12.09,0.811677592871.479163
2023/02/28 14:01:11,logs_a,-0.07,0.02,0.011677592871.573181
2023/02/28 14:01:11,logs_a,0.05,0.01,-0.051677592871.574839
2023/02/28 14:01:11,logs_a,3.32,1.54,-0.171677592871.576195
2023/02/28 14:01:11,logs_a,4.94,7.54,2.31677592871.577607
2023/02/28 14:01:11,logs_a,2.04,5.19,-7.451677592871.578988
2023/02/28 14:01:11,logs_a,-9.79,7.87,5.281677592871.580338
2023/02/28 14:01:11,logs_a,0.8,8.22,2.211677592871.581321
2023/02/28 14:01:11,logs_a,0.55,8.59,1.81677592871.582255
2023/02/28 14:01:11,logs_a,-4.3,4.1,0.691677592871.583176
2023/02/28 14:01:11,logs_a,-4.67,3.95,1.171677592871.584182
2023/02/28 14:01:11,logs_a,-0.38,12.02,1.481677592871.585148
2023/02/28 14:01:11,logs_a,-0.07,0.02,0.011677592871.670000
2023/02/28 14:01:11,logs_a,0.05,0.01,-0.051677592871.671217
2023/02/28 14:01:11,logs_a,3.25,0.66,1.011677592871.672338
2023/02/28 14:01:11,logs_a,3.28,1.38,0.651677592871.673896
2023/02/28 14:01:11,logs_a,-4.49,3.9,0.661677592871.675437
2023/02/28 14:01:11,logs_a,4.94,7.54,2.281677592871.676535
2023/02/28 14:01:11,logs_a,2.04,6.08,-6.751677592871.677532
2023/02/28 14:01:11,logs_a,5.25,9.08,0.571677592871.678598
2023/02/28 14:01:11,logs_a,1.07,8.34,1.391677592871.679858
2023/02/28 14:01:11,logs_a,0.54,8.51,1.571677592871.681077
2023/02/28 14:01:11,logs_a,-0.07,0.02,0.011677592871.767765
2023/02/28 14:01:11,logs_a,0.05,0.01,-0.051677592871.769101
2023/02/28 14:01:11,logs_a,3.36,0.67,0.531677592871.770421
2023/02/28 14:01:11,logs_a,0.78,8.25,1.051677592871.771453
2023/02/28 14:01:11,logs_a,0.53,8.42,1.211677592871.772404
2023/02/28 14:01:11,logs_a,-4.39,4.11,1.061677592871.773441
2023/02/28 14:01:11,logs_a,-0.07,0.02,0.011677592871.868045
2023/02/28 14:01:11,logs_a,0.05,0.01,-0.051677592871.869514
2023/02/28 14:01:11,logs_a,3.21,1.75,0.31677592871.870776
2023/02/28 14:01:11,logs_a,2.46,7.34,1.41677592871.871789
2023/02/28 14:01:11,logs_a,4.94,7.53,2.331677592871.872760
2023/02/28 14:01:11,logs_a,2.04,5.78,-7.01677592871.873710
2023/02/28 14:01:11,logs_a,0.53,8.36,0.861677592871.874667
2023/02/28 14:01:11,logs_a,-0.75,11.66,2.461677592871.875607
2023/02/28 14:01:11,logs_a,-0.07,0.02,0.011677592871.968850
2023/02/28 14:01:11,logs_a,0.05,0.01,-0.051677592871.970394
2023/02/28 14:01:11,logs_a,3.25,1.58,0.861677592871.971757
2023/02/28 14:01:11,logs_a,-4.26,3.95,1.21677592871.972827
2023/02/28 14:01:11,logs_a,-4.18,4.22,1.311677592871.973751
2023/02/28 14:01:11,logs_a,4.94,7.56,2.241677592871.974690
2023/02/28 14:01:11,logs_a,2.04,5.91,-6.891677592871.975620
2023/02/28 14:01:11,logs_a,-0.74,11.78,1.221677592871.976662
2023/02/28 14:01:12,logs_a,-0.07,0.02,0.011677592872.066495
2023/02/28 14:01:12,logs_a,0.05,0.01,-0.051677592872.067778
2023/02/28 14:01:12,logs_a,3.23,1.41,0.521677592872.068825
2023/02/28 14:01:12,logs_a,3.32,1.21,0.971677592872.069998
2023/02/28 14:01:12,logs_a,-4.55,3.99,1.841677592872.071189
2023/02/28 14:01:12,logs_a,4.96,7.6,2.171677592872.072268
2023/02/28 14:01:12,logs_a,2.04,5.94,-6.91677592872.073266
2023/02/28 14:01:12,logs_a,0.51,7.99,1.271677592872.074343
2023/02/28 14:01:12,logs_a,-0.74,11.37,3.041677592872.075406
2023/02/28 14:01:12,logs_a,-0.07,0.02,0.011677592872.175377
2023/02/28 14:01:12,logs_a,0.05,0.01,-0.051677592872.177005
2023/02/28 14:01:12,logs_a,3.43,1.04,0.741677592872.178614
2023/02/28 14:01:12,logs_a,-4.06,4.13,1.151677592872.180065
2023/02/28 14:01:12,logs_a,0.75,7.8,1.561677592872.181100
2023/02/28 14:01:12,logs_a,-1.23,5.13,11.981677592872.181998
2023/02/28 14:01:12,logs_a,-0.07,0.02,0.011677592872.266645
2023/02/28 14:01:12,logs_a,0.05,0.01,-0.051677592872.268559
2023/02/28 14:01:12,logs_a,-4.08,4.23,0.811677592872.269868
2023/02/28 14:01:12,logs_a,5.25,9.09,0.111677592872.270901
2023/02/28 14:01:12,logs_a,0.5,7.83,1.341677592872.271805
2023/02/28 14:01:12,logs_a,-0.73,11.51,1.821677592872.272697
2023/02/28 14:01:12,logs_a,-0.07,0.02,0.011677592872.370769
2023/02/28 14:01:12,logs_a,0.05,0.01,-0.051677592872.372626
2023/02/28 14:01:12,logs_a,3.34,0.71,0.481677592872.373929
2023/02/28 14:01:12,logs_a,3.57,0.8,0.431677592872.375036
2023/02/28 14:01:12,logs_a,4.94,7.54,2.311677592872.375925
2023/02/28 14:01:12,logs_a,2.33,3.44,-8.331677592872.376768
2023/02/28 14:01:12,logs_a,-9.79,8.11,4.891677592872.377644
2023/02/28 14:01:12,logs_a,-3.72,4.33,1.691677592872.378521
2023/02/28 14:01:12,logs_a,0.72,7.54,1.451677592872.379590
2023/02/28 14:01:12,logs_a,-0.36,11.31,1.621677592872.380529
2023/02/28 14:01:12,logs_a,-0.72,11.5,1.141677592872.381395
2023/02/28 14:01:12,logs_a,-0.07,0.02,0.011677592872.467021
2023/02/28 14:01:12,logs_a,0.05,0.01,-0.051677592872.468323
2023/02/28 14:01:12,logs_a,3.3,1.22,0.941677592872.469714
2023/02/28 14:01:12,logs_a,-3.58,4.59,1.561677592872.471753
2023/02/28 14:01:12,logs_a,4.94,7.54,2.291677592872.472996
2023/02/28 14:01:12,logs_a,2.04,5.8,-6.991677592872.473971
2023/02/28 14:01:12,logs_a,0.47,7.4,1.521677592872.474886
2023/02/28 14:01:12,logs_a,-0.07,0.02,0.011677592872.569109
2023/02/28 14:01:12,logs_a,0.05,0.01,-0.051677592872.571207
2023/02/28 14:01:12,logs_a,3.34,0.82,1.321677592872.572381
2023/02/28 14:01:12,logs_a,4.94,7.56,2.211677592872.573422
2023/02/28 14:01:12,logs_a,2.04,4.11,-8.091677592872.574442
2023/02/28 14:01:12,logs_a,-3.62,4.75,1.241677592872.575260
2023/02/28 14:01:12,logs_a,0.7,7.35,1.311677592872.576085
2023/02/28 14:01:12,logs_a,-0.07,0.02,0.011677592872.662033
2023/02/28 14:01:12,logs_a,0.05,0.01,-0.051677592872.663081
2023/02/28 14:01:12,logs_a,3.34,0.48,0.711677592872.663801
2023/02/28 14:01:12,logs_a,3.3,1.18,0.981677592872.664747
2023/02/28 14:01:12,logs_a,4.94,7.52,2.371677592872.665556
2023/02/28 14:01:12,logs_a,2.04,5.6,-7.151677592872.666253
2023/02/28 14:01:12,logs_a,-9.37,8.7,4.711677592872.666946
2023/02/28 14:01:12,logs_a,-3.45,4.78,1.681677592872.667681
2023/02/28 14:01:12,logs_a,-3.76,4.69,1.971677592872.668512
2023/02/28 14:01:12,logs_a,0.46,7.24,1.31677592872.669285
2023/02/28 14:01:12,logs_a,-0.07,0.02,0.011677592872.768962
